,setting,dataset,unassigned_count,wrong_assigned_count,general_terms_count,specific_terms_count,other_terms_count
0,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Education_expenditure_and_indicators.csv,0.05660377358490566,0.01509433962264151,0.2641509433962264,0.6094339622641509,0.013207547169811321
1,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Health_expectancy.csv,0.0,0.03571428571428571,0.75,0.17857142857142858,0.0
2,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Listed_monuments.csv,0.0,0.25,0.75,0.0,0.0
3,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Livestock.csv,0.0,0.0,0.0,1.0,0.0
4,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Milk_supply_and_dairy_production.csv,0.0,0.0,0.16363636363636364,0.8363636363636363,0.0
5,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Mobility.csv,0.0,0.0,0.4777777777777778,0.5222222222222223,0.0
6,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Plant_protection_products.csv,0.0,0.0,0.1,0.675,0.225
7,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Population_dynamics.csv,0.0,0.0,0.45555555555555555,0.5444444444444444,0.0
8,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Social_security.csv,0.0,0.0,0.6631578947368421,0.3368421052631579,0.0
9,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,Trade_and_industry.csv,0.0,0.0,0.5470588235294118,0.45294117647058824,0.0
10,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Education_expenditure_and_indicators.csv,0.0,0.314,0.116,0.272,0.012
11,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Health_expectancy.csv,0.0,0.05,0.5357142857142857,0.3,0.09285714285714286
12,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Listed_monuments.csv,0.0,0.0,0.575,0.0,0.425
13,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Livestock.csv,0.0,0.0,0.0,1.0,0.0
14,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Milk_supply_and_dairy_production.csv,0.15384615384615385,0.35384615384615387,0.0,0.007692307692307693,0.14615384615384616
15,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Mobility.csv,0.0,0.011111111111111112,0.5666666666666667,0.14444444444444443,0.17777777777777778
16,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Plant_protection_products.csv,0.0,0.0,0.0,0.375,0.625
17,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Population_dynamics.csv,0.1,0.06,0.55,0.2,0.05
18,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Social_security.csv,0.0,0.4263157894736842,0.0,0.0,0.05263157894736842
19,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,Trade_and_industry.csv,0.07142857142857142,0.0,0.05714285714285714,0.44857142857142857,0.4228571428571429
20,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Education_expenditure_and_indicators.csv,0.021568627450980392,0.0,0.9254901960784314,0.03137254901960784,0.021568627450980392
21,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Health_expectancy.csv,0.0,0.07142857142857142,0.7857142857142857,0.07142857142857142,0.07142857142857142
22,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Listed_monuments.csv,0.0,0.0,0.75,0.0,0.25
23,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Livestock.csv,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
24,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Milk_supply_and_dairy_production.csv,0.0,0.06363636363636363,0.09090909090909091,0.18181818181818182,0.09090909090909091
25,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Mobility.csv,0.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
26,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Plant_protection_products.csv,0.0,0.0,0.0,0.25,0.75
27,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Population_dynamics.csv,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
28,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Social_security.csv,0.0,0.0,0.0,0.9473684210526315,0.05263157894736842
29,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleGemini/strict_consistency/,Trade_and_industry.csv,0.0,0.0,0.2852941176470588,0.34411764705882353,0.37058823529411766
30,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Education_expenditure_and_indicators.csv,0.053061224489795916,0.0020408163265306124,0.3836734693877551,0.5387755102040817,0.004081632653061225
31,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Health_expectancy.csv,0.0,0.0,0.9071428571428571,0.02857142857142857,0.06428571428571428
32,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Listed_monuments.csv,0.0,0.25,0.525,0.225,0.0
33,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Livestock.csv,0.0,0.0,0.0,1.0,0.0
34,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Milk_supply_and_dairy_production.csv,0.0,0.0,0.7,0.24545454545454545,0.05454545454545454
35,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Mobility.csv,0.0,0.011111111111111112,0.4888888888888889,0.26666666666666666,0.13333333333333333
36,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Plant_protection_products.csv,0.0,0.0,0.175,0.8,0.025
37,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,Population_dynamics.csv,0.0,0.0,0.6555555555555556,0.34444444444444444,0.0
